bairro_origem,bairro_destino,logradouro,observacao,peso
Alto Santa Teresinha,Fundao,r.corrego_do_euclides+av.beberibe+av.norte,r = rua; av = avenida,4.0
Alto Santa Teresinha,Porto da Madeira,2r.corrego_do_euclides+av.beberibe,r = rua; av = avenida,3.0
Alto Santa Teresinha,Beberibe,3r.corrego_do_euclides+av.beberibe,r = rua; av = avenida,3.0
Alto Santa Teresinha,Dois Unidos,"1r.corrego_do_euclides+av.beberibe+av.hildebrando_vasconcelos","r = rua; av = avenida",4.0
Alto Santa Teresinha,Linha do Tiro,"2r.corrego_do_euclides+av.beberibe+av.hildebrando_vasconcelos","r = rua; av = avenida",4.0
Bomba do Hemeterio,Cajueiro,1av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemeterio,Fundao,av.anibal_benevolo+av.beberibe+av.norte,av = avenida,3.0
Bomba do Hemeterio,Porto da Madeira,2av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemeterio,Beberibe,3av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemeterio,Dois Unidos,"1av.anibal_benevolo+av.beberibe+av.hildebrando_vasconcelos","av = avenida",3.0
Bomba do Hemeterio,Linha do Tiro,"2av.anibal_benevolo+av.beberibe+av.hildebrando_vasconcelos","av = avenida",3.0
Cajueiro,Fundao,2av.norte,av = avenida,1.0
Cajueiro,Porto da Madeira,9av.beberibe,av = avenida,1.0
Cajueiro,Beberibe,10av.beberibe,av = avenida,1.0
Cajueiro,Dois Unidos,3av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Cajueiro,Linha do Tiro,4av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Fundao,Porto da Madeira,1av.norte+av.beberibe,av = avenida,2.0
Fundao,Beberibe,2av.norte+av.beberibe,av = avenida,2.0
Fundao,Dois Unidos,"1av.norte+av.beberibe+av.hildebrando_vasconcelos","av = avenida",3.0
Fundao,Linha do Tiro,"2av.norte+av.beberibe+av.hildebrando_vasconcelos","av = avenida",3.0
Porto da Madeira,Beberibe,11av.beberibe,av = avenida,1.0
Porto da Madeira,Dois Unidos,5av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Porto da Madeira,Linha do Tiro,6av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Beberibe,Dois Unidos,1av.hildebrando_vasconcelos,av = avenida,1.0
Beberibe,Linha do Tiro,2av.hildebrando_vasconcelos,av = avenida,1.0
