bairro_origem,bairro_destino,logradouro,observacao,peso
Cordeiro,Afogados,1av.caxangá+r.sao_miguel+r.dr_francisco_de_assis+r.padre_muniz+r.sao_miguel,av = avenida; r = rua,9.0
Cordeiro,Coelhos,4av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Cordeiro,Brejo da Guabiraba,1av.caxangá+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,3.0
Cordeiro,Areias,av.caxangá+r.sao_miguel+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,6.0
Cordeiro,Ibura,5av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Cordeiro,Barro,6av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Boa Vista,Afogados,av.dantas_barreto+r.do_sol+r.sao_miguel,av = avenida; r = rua,5.0
Boa Vista,Coelhos,r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto,r = rua; av = avenida,7.0
Boa Vista,Brejo da Guabiraba,4av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,2.0
Boa Vista,Areias,2av.caxangá+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Boa Vista,Ibura,5av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Boa Vista,Barro,6av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Afogados,Coelhos,r.sao_miguel+r.do_sol+av.dantas_barreto,r = rua; av = avenida,5.0
Afogados,Brejo da Guabiraba,av.brejo_da_guabiraba+r.dois_irmaos+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,4.0
Afogados,Areias,1br-101+av.recife+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Afogados,Ibura,1r.sao_miguel+br-101,r = rua; br = rodovia BR,3.0
Afogados,Barro,2r.sao_miguel+br-101,r = rua; br = rodovia BR,3.0
Coelhos,Brejo da Guabiraba,r.dos_coelhos+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,r = rua; av = avenida,4.0
Coelhos,Areias,r.dos_coelhos+r.da_aurora+r.do_sol+av.nossa_sra_do_carmo+av.brasilia+br-101,r = rua; av = avenida; br = rodovia BR,9.0
Coelhos,Ibura,r.dos_coelhos+r.da_aurora+r.do_sol+av.consolacao+av.recife+br-101,r = rua; av = avenida; br = rodovia BR,9.0
Coelhos,Barro,av.dantas_barreto+r.padre_muniz+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Brejo da Guabiraba,Areias,3av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Brejo da Guabiraba,Ibura,1av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Brejo da Guabiraba,Barro,2av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Areias,Ibura,1av.recife+r.capitao_jose_leite+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Areias,Barro,2av.recife+r.capitao_jose_leite+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Ibura,Barro,2br-101+av.recife+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
